genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
SEL1L	1853	1351	1639	1255	543	1064	5653	5233	4193	5014	7531	431	325	3299	3646
LOC111561005	6	3	5	4	1	2	1	1	0	0	0	11	21	1	0
LOC109500957	2	0	0	0	0	1	0	0	0	0	0	10	10	0	0
LOC102900876	0	0	0	0	5	0	0	0	0	0	0	28	11	0	0
LOC109501192	0	1	2	2	2	2	0	0	0	0	0	43	54	0	0
LOC111560908	0	0	0	1	0	0	1	0	0	0	0	10	6	0	0
LOC109500961	0	0	0	0	0	0	0	0	0	0	0	14	26	0	0
LOC109501194	2	1	0	1	3	2	0	1	0	0	0	10	17	0	0
LOC111561042	0	0	0	0	1	0	0	0	0	0	0	6	20	0	0
FLRT2	2	3	5	5	21	6	1752	3294	2598	804	976	144	239	1504	1736
LOC109500962	1	0	4	3	9	0	2	3	10	0	1	33	38	5	10
LOC111560909	2	0	0	0	7	3	2	1	3	1	0	70	97	0	3
LOC111560910	0	0	0	1	1	0	0	0	0	0	0	12	4	0	0
LOC105260674	3	1	0	2	6	0	2	0	0	0	0	23	29	0	0
LOC109500963	1	2	0	0	2	1	7	0	0	0	0	7	11	0	0
LOC102901286	2	0	1	2	7	1	2	1	0	0	0	25	54	0	0
LOC111560911	3	2	1	1	2	2	2	0	0	0	0	22	27	0	0
LOC102901345	1	0	1	4	9	2	0	0	0	0	0	54	61	0	0
LOC109500967	1	0	1	2	2	0	0	0	0	0	0	11	17	0	0
GALC	907	828	622	393	150	419	412	470	400	531	695	151	204	206	285
GPR65	564	515	602	267	148	319	2	3	4	10	2	219	208	3	1
KCNK10	36	46	39	40	28	12	0	0	4	2	2	133	148	0	0
LOC105260676	12	7	3	2	1	1	7	1	1	3	1	25	23	2	0
LOC109500969	1	0	0	2	5	0	0	0	1	1	3	44	48	0	1
SPATA7	11	25	11	22	10	8	239	248	236	343	453	60	90	190	186
LOC109501198	3	0	1	1	2	1	1	0	0	1	1	20	21	1	0
PTPN21	125	45	90	90	30	76	976	1100	845	1205	1445	207	225	600	728
LOC102901525	12	3	8	23	34	9	13	6	4	7	5	148	248	2	6
ZC3H14	3553	3212	3480	2417	725	2631	2325	2306	1884	2929	3683	199	168	1190	1591
EML5	273	223	186	105	47	61	47	43	31	20	28	202	255	10	4
TTC8	3	5	8	5	4	2	1222	1543	1282	1103	1436	100	129	645	789
LOC111561033	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0
LOC111560913	0	0	0	0	1	0	0	0	0	0	0	19	23	0	0
FOXN3	2616	2687	3269	2257	659	2289	2508	3573	2810	3049	4089	343	306	1437	1527
LOC109500974	17	8	4	22	23	6	1	0	0	2	2	54	77	2	3
LOC109500975	43	17	27	47	13	14	4	4	5	5	5	31	49	0	1
LOC109500973	5	4	3	5	9	2	2	3	1	0	1	32	46	0	0
LOC109500976	6	2	1	5	2	10	3	1	6	0	0	17	33	0	1
LOC109500972	14	3	20	17	5	6	2	5	3	2	0	24	35	0	0
LOC111561047	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0
LOC111561006	0	0	0	0	1	0	0	1	0	0	0	13	17	0	0
LOC102901934	2	1	0	0	7	1	0	0	0	0	0	3	14	0	0
LOC109500977	1	0	1	1	6	0	0	0	0	0	0	17	10	0	0
EFCAB11	67	68	83	39	33	61	61	65	39	100	134	60	85	22	31
TDP1	348	243	295	251	94	208	105	114	86	161	202	117	101	56	44
KCNK13	56	42	93	22	20	28	0	0	0	0	0	51	67	0	0
PSMC1	1042	1083	1050	666	234	839	1439	1308	1099	1536	2173	195	150	947	1096
NRDE2	1010	979	912	576	235	673	484	472	431	553	649	210	215	293	327
CALM1	13214	14575	15839	13653	3625	10784	11689	9960	8075	14500	19436	1795	1081	11012	13979
LOC109501199	1	2	3	2	7	1	0	0	0	0	0	5	3	0	0
TTC7B	1299	1171	1409	1109	487	1110	392	382	317	616	907	427	289	377	364
LOC109500980	21	20	18	22	23	19	23	10	12	17	9	288	298	10	15
LOC109500979	6	2	5	2	4	4	5	2	2	2	5	36	40	1	2
LOC111561235	6	3	6	3	4	5	1	6	1	2	3	19	14	0	2
LOC111560915	27	6	9	15	5	6	0	0	0	0	0	3	9	0	0
RPS6KA5	1094	678	1022	826	224	577	17	14	13	16	16	243	290	7	15
LOC102902385	83	25	50	159	36	20	0	1	1	1	0	61	63	0	0
LOC111560916	1	1	3	0	5	1	0	0	0	0	0	34	40	0	0
DGLUCY	11	8	8	5	5	7	8	2	4	4	7	63	70	7	8
LOC102902534	2	0	0	1	2	0	0	0	0	0	0	8	7	0	0
LOC109500984	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GPR68	0	0	1	1	0	1	11	24	20	18	22	21	24	11	15
CCDC88C	3930	2859	2984	1783	726	2234	6	29	37	8	18	1063	901	15	9
LOC109500985	54	33	40	72	21	20	0	0	0	0	0	69	77	0	0
PPP4R3A	5065	4292	4526	2560	952	3085	1901	1915	1496	2093	2807	381	251	1008	1246
LOC102902607	302	274	275	146	70	238	124	128	121	169	204	110	91	77	95
LOC109500986	2	1	4	2	2	3	4	34	30	11	16	48	61	2	5
CATSPERB	7	6	3	2	22	2	1	0	0	0	0	137	180	0	0
TC2N	458	272	293	23	88	199	1	1	1	1	2	103	139	3	2
FBLN5	6	3	4	1	22	2	4129	9421	7683	5792	7657	129	130	7288	7964
TRIP11	2396	1572	1950	1398	574	1376	2075	2772	2223	2665	3409	509	434	1196	1374
ATXN3	2215	2583	2040	997	639	1790	1200	1453	1140	1464	1933	218	208	1195	1561
NDUFB1	426	380	478	250	124	350	1191	1183	994	1201	1683	43	48	852	1200
CPSF2	2218	1833	1933	1327	460	1638	2006	2309	1826	2507	3632	251	261	1259	1620
SLC24A4	19	30	40	20	24	13	0	1	5	0	0	160	164	0	0
RIN3	449	274	469	323	119	285	34	118	128	90	121	180	173	11	17
LOC109500989	5	5	5	9	8	2	0	3	1	1	5	44	54	0	0
LGMN	119	119	180	96	69	94	1693	2725	2480	2302	2829	140	162	2073	2142
GOLGA5	1296	1120	1289	681	308	938	1833	1845	1513	2316	3129	169	146	1089	1408
LOC109500992	2	0	1	0	5	0	0	0	0	0	0	63	76	0	0
CHGA	21	8	10	10	12	8	0	1	1	3	0	102	90	0	1
ITPK1	621	638	578	269	164	498	372	376	385	628	728	201	155	276	312
MOAP1	287	257	246	105	63	212	452	760	647	588	689	100	81	416	505
TMEM251	383	395	359	210	102	284	418	452	364	452	572	43	42	170	258
GON7	428	485	450	258	125	372	338	400	321	359	516	60	42	269	294
UBR7	662	726	867	473	179	706	1166	1190	1022	1355	1699	184	195	837	928
BTBD7	2291	2421	2286	1997	662	1734	1168	1235	1040	1298	1640	203	269	1040	1201
LOC111561007	4	0	0	2	6	3	0	1	0	0	0	36	66	0	0
LOC111560969	3	4	10	5	6	0	0	0	0	0	0	26	41	0	0
UNC79	9	6	4	6	36	4	11	7	8	9	8	399	567	6	13
LOC111561055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109500994	0	2	0	1	2	0	3	3	2	2	2	29	47	0	5
PRIMA1	11	3	3	3	23	1	1493	2660	2418	2088	2375	151	132	645	765
LOC102900003	4	0	1	1	11	1	106	76	60	61	48	43	42	54	34
LOC105260678	1	0	0	3	3	0	20	2	1	0	1	9	7	0	5
FAM181A	2	2	2	2	15	0	0	0	0	1	1	28	43	0	0
ASB2	26	41	63	26	14	29	4	1	4	34	48	144	148	22	28
LOC109500995	3	4	2	4	3	6	8	4	0	13	13	50	81	10	11
LOC109500996	1	1	0	0	4	0	0	0	0	0	0	19	12	0	0
LOC111560917	4	0	1	0	1	0	5	3	5	3	0	29	24	4	7
LOC111560970	1	0	0	1	5	0	0	0	0	0	0	34	29	1	1
OTUB2	225	185	206	126	91	157	85	131	117	165	177	81	90	111	130
DDX24	1895	2040	1497	940	385	1428	1658	1908	1589	1916	2616	505	340	1499	1773
IFI27L2	207	650	368	62	51	137	195	197	158	222	276	59	46	171	209
PPP4R4	2	8	2	6	18	1	1	1	0	1	2	181	235	0	1
LOC109500998	0	0	2	1	0	0	0	0	0	0	0	17	30	0	0
SERPINA6	0	1	1	0	5	0	0	0	0	0	0	26	26	0	0
SERPINA1	1	5	2	3	2	0	3	1	4	0	1	29	29	3	1
LOC109501001	1	0	0	0	4	2	0	0	0	0	0	12	43	0	0
SERPINA11	2	0	0	1	9	2	0	0	0	0	0	60	68	0	0
SERPINA9	2	2	1	1	10	1	0	0	0	0	0	103	118	0	0
SERPINA12	1	1	0	1	8	1	1	0	0	0	0	105	96	0	0
SERPINA4	0	1	1	1	9	0	0	0	0	0	0	78	81	0	0
LOC109501202	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0
SERPINA5	1	0	0	2	16	0	0	2	0	0	0	62	78	0	1
SERPINA3	1	3	1	4	6	0	2	1	4	0	0	29	39	5	14
LOC111561008	0	0	0	0	2	0	1	0	0	0	0	6	8	0	0
GSC	0	3	1	1	0	1	21	2	3	3	3	16	21	0	0
LOC102900557	1	1	0	1	4	1	5	0	0	0	0	24	54	0	0
LOC111561035	0	0	0	1	1	0	0	0	0	0	0	12	11	0	0
TRNAK-CUU_35	0	0	0	1	2	0	0	0	0	0	0	7	19	0	0
LOC109501204	0	1	1	1	3	0	0	0	0	0	0	3	14	0	0
LOC102900584	8	3	5	9	13	2	6	4	2	0	1	29	40	1	0
DICER1	2090	1698	1749	998	413	1120	1486	1333	1135	1864	2302	575	473	806	944
LOC102900612	5	5	5	7	1	2	4	4	6	11	13	30	75	2	4
CLMN	71	134	132	12	20	42	129	24	32	62	53	160	168	3	12
LOC109501007	1	1	1	0	7	1	0	0	0	0	0	27	42	0	0
LOC102900718	3	1	1	0	2	0	0	0	0	0	0	44	61	0	0
SYNE3	1116	777	1052	562	264	645	915	206	181	673	786	430	325	413	420
LOC109501009	107	71	84	54	21	52	82	39	33	51	85	12	15	41	54
LOC111561211	8110	4462	5935	3837	1470	5519	1094	771	700	841	1128	20	14	459	656
GLRX5	221	203	243	140	70	219	424	309	293	458	586	47	27	265	348
LOC109501010	18	8	20	10	14	12	5	3	1	8	7	80	70	4	5
LOC109501011	0	0	0	0	2	1	0	0	0	1	0	31	50	0	0
LOC109501012	1	0	2	1	6	0	0	0	0	0	0	39	24	0	0
LOC111560919	2	4	1	0	5	1	0	0	0	0	0	20	22	0	0
TCL1A	0	1	0	1	1	0	0	0	0	0	0	6	1	0	0
LOC109501014	2	1	6	3	7	1	0	0	0	0	0	91	68	0	0
CB3H14orf132	2	6	3	5	17	2	8	10	9	8	6	98	122	9	2
LOC101082667	6	4	1	4	11	5	132	212	239	361	475	139	184	87	104
ATG2B	1445	1008	1102	1161	373	909	1161	892	708	1342	1815	417	465	488	569
LOC109501017	15	11	11	22	17	7	3	3	1	7	4	55	84	2	0
GSKIP	1759	1595	1413	736	352	1406	994	1039	761	1202	1601	72	68	703	804
AK7	13	18	6	4	12	8	2	1	3	2	3	189	216	5	2
PAPOLA	6944	6203	6546	4152	1515	4574	4058	4087	3117	4187	5720	448	332	2551	3059
VRK1	451	397	495	372	119	323	258	230	191	301	372	157	115	192	254
LOC109501207	22	13	34	15	3	17	0	0	0	1	0	39	37	0	0
LOC109501209	1	1	0	0	2	0	0	0	0	0	0	8	13	0	0
LOC109501210	1	1	0	1	5	0	0	0	0	1	0	16	21	0	0
LOC109501020	3	0	0	1	12	1	0	0	0	0	0	53	75	0	0
LOC109501021	0	1	5	4	12	1	0	0	0	1	0	49	82	0	0
LOC111561083	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0
LOC109501025	4	1	2	2	6	1	2	0	0	1	0	55	59	0	2
BCL11B	3261	3890	2929	908	521	2373	120	101	78	106	141	315	210	215	296
SETD3	1337	1284	1255	820	352	1074	621	874	706	731	922	147	170	779	988
CCNK	290	252	253	293	126	212	80	63	28	76	105	152	131	39	52
CCDC85C	21	11	12	9	23	9	13	10	13	11	10	61	64	31	25
HHIPL1	1101	389	991	621	334	569	7070	12573	11651	7548	8636	59	85	3664	4007
LOC101093112	2	3	3	5	10	0	8	23	29	13	18	76	75	22	36
LOC111560974	2	1	3	5	1	1	1	3	2	2	3	3	14	0	2
EML1	6	5	2	2	34	2	1932	2257	1914	1921	2503	213	283	1106	1241
LOC109501027	1	1	0	2	3	2	22	30	21	26	35	14	26	22	13
EVL	2882	2841	2450	1164	487	2047	839	967	861	1608	1813	242	227	626	710
DEGS2	117	103	99	77	32	83	108	91	97	140	163	59	68	79	81
YY1	3646	3723	3388	2060	673	2616	2858	3026	2522	3332	4321	310	235	1911	2278
LOC109501031	56	46	47	25	7	28	7	6	4	7	8	4	2	5	8
SLC25A29	1875	1742	1248	461	329	1239	702	744	784	648	707	204	131	645	778
SLC25A47	594	346	312	105	113	253	25	18	17	26	41	85	93	28	43
WARS	12463	13982	7317	3083	2594	8660	12674	8361	7193	30170	42085	2303	1377	9394	9827
LOC109501033	220	76	87	31	27	70	22	12	10	21	24	20	11	5	13
WDR25	286	323	296	224	85	197	469	384	358	357	410	129	104	229	283
LOC109501032	27	9	22	23	23	14	6	8	10	2	4	216	172	2	6
BEGAIN	39	16	26	25	26	20	21	18	11	13	14	85	111	37	44
DLK1	2	0	1	0	8	1	0	1	0	0	0	35	36	0	2
LOC102900156	4	3	1	5	13	0	89	7	6	13	19	76	78	24	60
RTL1	3	1	3	3	13	3	58	3	6	6	8	119	135	16	23
LOC111560920	3	1	1	6	19	3	83	7	5	17	9	134	161	30	46
LOC111561240	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0
LOC105260691	15	3	8	10	35	6	1155	157	138	225	315	80	118	333	415
LOC111561197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111561195	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
LOC111561204	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0
LOC111561207	0	1	0	0	1	2	1	0	0	1	0	0	2	1	1
LOC111561192	0	0	0	0	0	0	4	1	0	0	0	3	3	1	2
LOC111561193	0	0	0	0	0	0	2	0	0	3	2	1	3	2	4
LOC111561189	0	0	0	0	0	0	14	0	0	2	2	3	1	3	3
LOC111561196	0	0	0	0	1	0	39	4	1	3	4	0	4	7	13
LOC111561188	0	0	0	0	0	0	39	6	5	5	11	5	7	9	6
LOC111561191	0	0	1	0	0	0	21	1	0	2	2	1	0	0	3
LOC111561170	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1
LOC111561149	0	0	0	0	1	0	7	0	2	0	3	0	1	0	2
LOC111561178	0	1	0	2	1	0	4	0	0	1	0	0	3	0	0
LOC111561154	0	0	0	0	0	0	6	1	1	1	1	0	0	1	2
LOC111561169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111561174	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC111561152	0	0	0	0	0	0	4	2	0	0	0	0	0	3	0
LOC111561153	0	1	1	0	0	0	10	1	6	3	2	0	6	2	5
LOC111561163	0	0	0	0	0	0	0	0	0	0	1	3	6	0	1
LOC111561162	0	0	0	1	1	0	4	3	1	2	8	0	0	5	9
LOC111561165	0	0	0	0	0	0	4	1	3	1	5	0	0	5	7
LOC111561168	0	0	0	0	0	0	3	0	0	1	0	2	1	0	1
LOC111561201	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
LOC111561157	0	0	0	0	0	1	1	0	0	0	2	5	0	0	0
LOC111561203	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC111561173	0	0	0	0	0	0	10	0	1	1	5	2	0	4	3
LOC111561177	0	0	0	0	0	0	4	2	1	4	4	0	1	0	3
LOC111561200	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2
LOC111561202	0	0	0	0	2	2	0	0	0	0	0	6	6	0	0
LOC111561156	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
LOC111561190	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
LOC111561160	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LOC111561176	0	0	0	0	3	0	0	0	0	0	0	4	8	0	0
LOC111561158	0	0	2	0	1	0	4	4	4	0	2	4	7	5	2
LOC111561151	0	0	0	0	0	0	6	6	1	1	0	1	2	2	1
LOC111561181	0	0	0	0	0	0	0	0	0	0	0	5	2	0	1
LOC111561185	0	0	0	1	0	0	1	1	0	0	0	1	2	0	1
LOC111561199	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0
LOC111561184	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC111561179	0	0	0	0	0	0	0	0	1	1	0	3	8	1	1
LOC111561182	1	0	1	0	5	0	3	1	0	0	0	0	1	0	0
LOC111560921	1	0	1	0	11	2	118	14	19	18	24	35	58	35	50
LOC111561166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111561198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111561171	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
LOC111561180	0	0	0	0	1	0	1	0	0	1	0	9	3	0	0
LOC111561208	0	0	0	2	5	0	1	0	0	0	0	3	6	2	0
LOC111561164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111561186	0	0	0	0	0	0	1	0	0	0	1	3	6	0	1
LOC111561155	0	0	0	0	0	0	4	0	0	2	0	1	0	0	3
LOC111561167	0	0	0	0	0	0	0	0	0	0	1	1	0	1	5
LOC111561159	0	0	0	0	1	0	2	0	0	0	0	6	1	0	2
LOC111560922	2	3	2	3	13	1	86	5	3	16	22	50	102	23	41
LOC109501035	5	1	3	2	20	6	56	5	3	8	9	38	48	8	27
LOC102899591	2	1	3	1	5	2	1	2	4	0	0	13	18	4	0
LOC111560923	0	0	0	0	9	2	0	0	0	0	0	9	14	0	0
LOC105260686	0	1	0	1	7	2	0	0	0	0	1	30	49	0	0
LOC111560925	0	0	2	0	1	0	0	0	0	0	0	1	5	0	0
LOC109501037	2	0	3	3	3	3	2	1	3	0	0	45	58	9	8
LOC109501117	7	3	7	1	18	2	17	4	4	1	0	135	141	0	0
LOC111560971	1	0	0	1	1	0	1	0	0	1	2	16	6	0	1
DIO3	2	0	3	2	14	2	8	16	18	2	4	12	16	2	2
LOC111561225	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC109501213	3	49	90	23	0	2	1	0	0	0	0	35	59	0	0
LOC109501040	60	81	51	24	10	40	18	19	15	23	19	39	41	7	7
PPP2R5C	3831	3383	3666	2128	786	2645	4337	4924	4032	4690	6013	344	285	3071	3883
LOC111561091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109501041	68	57	88	86	29	52	28	38	21	46	59	51	80	37	29
LOC109501042	6	6	15	7	5	2	4	4	6	3	3	20	37	2	6
DYNC1H1	9798	6705	7953	5597	2553	5650	24201	26648	23367	32441	40087	2471	1744	18463	20151
LOC102900393	8	3	7	7	6	3	47	57	54	56	62	39	43	23	38
HSP90AA1	10872	9838	9857	4652	1633	7403	19372	20977	17082	25642	34350	3470	1957	12405	15215
LOC109501043	84	63	74	55	21	47	11	9	12	19	16	56	50	3	0
LOC109501044	10	5	10	10	6	3	2	0	1	2	0	33	24	0	0
WDR20	515	408	438	251	107	310	279	238	246	246	293	165	161	171	220
MOK	145	58	112	50	66	63	174	197	169	132	165	131	143	190	237
LOC102900789	1	1	0	0	0	1	1	5	3	4	3	23	26	2	1
TRNAI-AAU_9	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ZNF839	331	319	262	136	63	228	136	126	125	202	200	106	107	83	105
CINP	185	190	231	114	51	142	358	413	339	405	612	67	57	306	397
TECPR2	1310	2299	1796	972	400	1189	1201	1419	1270	1509	1929	297	295	1152	1222
TRNAE-CUC_5	0	0	0	1	2	0	0	0	0	0	0	7	23	0	0
ANKRD9	102	150	157	57	35	184	354	203	222	354	431	68	60	159	160
LOC109501045	3	2	3	2	1	8	19	4	2	5	2	10	11	1	2
LOC109501046	0	0	1	1	4	0	0	0	0	0	0	25	30	0	0
LOC102900967	149	148	150	84	42	189	254	412	399	236	286	101	90	66	87
RCOR1	1971	2227	2280	1708	566	2161	629	586	530	809	1076	189	199	501	557
TRAF3	1537	970	1200	1211	396	952	1137	1502	1390	1433	1923	277	281	811	978
LOC109501118	18	7	12	12	12	8	1	1	2	1	0	57	32	2	0
AMN	3	8	4	6	6	3	6	8	5	0	7	21	19	0	0
CDC42BPB	346	413	710	291	126	411	5019	4850	4329	5482	6506	329	315	3157	3517
LBHD2	0	1	1	1	5	0	0	1	1	0	0	9	11	0	0
EXOC3L4	1961	4290	2584	1559	612	2998	2	6	2	1	0	84	88	0	1
LOC102901107	8	10	23	6	5	4	0	0	1	0	0	8	24	0	0
TNFAIP2	390	184	761	214	95	228	4387	3567	3474	1532	1554	83	63	2899	3192
LOC109501048	14	54	136	110	6	73	1	3	2	1	1	4	11	4	6
LOC111560928	4	10	22	11	0	12	2	0	1	0	0	0	1	2	1
LOC101085134	40	62	67	98	17	142	230	300	233	351	477	5	9	125	130
LOC111560929	88	105	131	67	21	91	0	0	0	0	0	53	30	0	0
LOC102901183	11907	10338	7861	3446	1615	7656	1	3	2	1	0	152	180	2	0
LOC111561063	1	0	0	1	1	0	0	0	0	0	0	2	3	0	0
LOC105260685	22	37	41	10	14	32	24	23	19	31	46	29	46	18	15
EIF5	8396	8432	8020	4912	1831	6929	7614	7596	6081	8622	12886	414	283	4978	5941
LOC111561218	68	36	52	18	8	36	16	7	3	10	7	1	4	1	5
TRNAE-CUC_6	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0
MARK3	2260	2471	2524	1558	562	1723	2100	2022	1701	2384	3005	291	305	1175	1466
LOC111561194	4	0	0	1	0	0	0	2	0	0	1	2	6	0	1
CKB	602	430	878	473	134	440	196	131	103	178	208	70	51	425	485
TRMT61A	388	415	330	185	97	365	854	773	850	903	1079	62	32	730	744
LOC102899905	13	11	19	8	9	6	3	4	4	5	3	17	15	3	0
LOC111560930	1	0	1	2	1	0	1	3	0	0	0	6	18	0	0
BAG5	545	531	485	208	108	348	1123	1460	1190	1341	1707	158	150	788	1003
APOPT1	562	603	500	228	114	375	502	471	364	558	663	57	53	290	405
LOC109501051	35	15	11	7	6	20	2	3	3	2	3	23	24	4	6
KLC1	3295	2385	2773	1681	654	2033	4007	4200	3642	4589	5944	541	421	3916	4925
XRCC3	146	83	102	68	44	70	107	94	69	98	110	28	21	93	101
ZFYVE21	512	375	441	155	100	303	706	901	797	767	935	60	85	892	1092
PPP1R13B	238	251	193	55	52	84	466	493	442	575	707	158	164	331	410
LOC109501052	19	6	20	7	7	14	17	14	14	21	18	51	44	10	21
ATP5MPL	828	822	890	453	212	727	1292	1367	1154	1372	1726	55	57	955	1184
TDRD9	9	114	111	28	29	39	1	0	0	0	2	306	381	0	0
RD3L	3	0	3	2	10	1	0	0	3	0	0	67	65	0	0
ASPG	8	4	4	9	26	9	0	0	0	0	0	43	33	0	0
KIF26A	26	29	37	15	32	8	64	39	24	41	44	45	57	32	37
LOC109501053	3	3	1	1	9	0	0	0	0	0	0	8	8	0	0
LOC111560931	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0
LOC111560972	4	0	3	1	7	3	1	0	1	0	0	25	36	2	1
LOC109501055	7	0	1	2	5	2	0	0	0	0	2	27	32	0	0
LOC111560933	1	2	0	1	4	0	0	0	0	0	0	10	12	0	0
LOC111560932	1	1	0	2	7	1	0	0	0	0	0	32	40	0	0
CB3H14orf180	3	5	4	2	10	2	0	0	0	0	0	26	13	0	0
TMEM179	76	134	210	56	24	22	2	4	9	3	1	28	19	18	26
LOC109501058	23	53	56	6	11	5	0	0	0	1	0	14	50	0	3
LOC109501060	3	0	0	0	4	1	0	0	0	0	0	37	27	0	0
LOC109501062	70	95	90	51	16	91	8	4	11	3	9	11	11	2	10
INF2	4214	4126	5500	2753	1096	3960	1148	968	855	729	844	114	99	770	1094
ADSSL1	15	13	12	9	16	17	68	71	52	75	92	43	47	76	68
SIVA1	247	247	228	106	62	193	232	224	161	234	262	60	47	201	202
AKT1	2656	2419	2542	1305	561	1985	6165	6323	5721	8512	9579	305	197	5015	5846
ZBTB42	452	420	376	158	82	341	248	292	282	587	661	51	52	181	318
LOC111560935	182	104	102	44	32	172	26	44	44	60	79	28	38	17	11
CEP170B	226	226	254	75	83	113	1489	1939	1795	2158	2550	151	111	1416	1747
LOC109501063	6	2	1	2	10	4	6	5	6	6	6	19	14	6	12
PLD4	2843	1274	1849	1692	705	1987	22	31	15	16	11	42	26	5	16
AHNAK2	1322	435	1059	1459	358	701	4329	8554	7282	5834	7186	126	143	4133	4041
LOC111560936	12	5	5	1	7	2	15	10	8	14	11	12	36	6	2
CLBA1	6	1	3	5	7	4	201	243	207	157	208	22	23	121	143
CDCA4	127	132	169	98	41	91	140	150	111	138	163	99	52	60	78
GPR132	773	741	792	328	121	494	0	0	0	0	0	52	63	1	0
JAG2	379	194	177	91	78	168	46	76	66	10	19	103	92	29	37
LOC109501120	12	16	6	6	10	5	3	5	6	3	2	7	16	1	1
NUDT14	146	187	138	55	40	100	515	833	794	419	530	14	14	324	336
LOC109501065	13	10	10	7	18	9	0	4	3	3	12	26	38	6	2
BRF1	1819	1213	1117	556	340	1056	875	891	892	1122	1082	174	156	569	707
BTBD6	204	202	221	127	45	180	878	949	797	831	917	41	39	863	939
PACS2	802	671	904	433	186	535	1460	1761	1686	2250	2640	190	173	1154	1377
LOC109501066	56	16	24	15	34	27	18	7	5	9	17	103	115	10	19
TEX22	90	81	64	41	36	43	32	19	9	27	30	41	47	18	19
MTA1	527	371	434	360	123	269	463	366	322	542	686	345	212	246	317
CRIP2	12	10	18	11	15	2	1437	843	703	1346	1537	62	40	1473	1972
CRIP1	6610	4619	7879	3496	904	3991	4060	2636	2482	2655	3196	106	63	4115	4298
TEDC1	373	210	292	76	49	150	143	98	91	61	57	76	54	50	55
TMEM121	67	56	37	10	16	48	249	276	306	216	252	17	10	108	159
LOC109501218	239	194	226	100	43	63	0	0	0	0	0	60	98	0	0
LOC101090949	4574	5567	4922	3155	624	2379	1	0	0	1	0	41	50	0	0
LOC101091208	2	2	2	3	3	6	0	0	0	0	0	144	144	0	0
LOC111560943	471	361	453	425	134	400	0	0	0	0	2	18	14	0	0
LOC105259932	4212	3011	2795	3190	556	3553	1	0	0	0	0	119	125	0	0
LOC111560937	266	91	178	281	80	135	2	1	0	0	3	65	76	0	0
LOC105260702	2387	1442	2112	2638	653	2288	0	5	0	0	0	54	40	0	0
LOC101091707	27495	21469	25170	31058	5971	26560	0	9	3	1	1	122	166	2	0
LOC111560941	309	140	194	190	58	174	0	0	0	0	0	20	23	1	0
LOC111560940	410	193	221	227	73	208	0	1	0	0	0	20	22	0	0
LOC111560938	145	147	171	240	37	220	0	0	0	0	0	17	22	0	0
LOC105260149	21	7	6	13	11	9	0	1	0	0	0	64	108	0	0
LOC101093530	56	53	40	76	11	87	0	0	0	0	0	4	8	0	1
LOC111560939	1	0	1	0	2	0	14	21	14	4	3	22	22	11	19
LOC111560942	0	0	0	0	0	1	1	5	1	0	1	0	1	1	4
LOC109497195	12	11	8	6	4	8	2	0	0	0	1	10	13	3	2
LOC101089195	0	0	0	0	3	0	0	0	0	0	0	2	4	0	0
LOC101095587	0	1	0	0	1	0	6	19	20	7	23	9	4	5	17
LOC101083685	89	97	69	18	14	77	0	0	0	0	0	17	11	0	0
LOC111559004	44	50	42	21	5	49	0	0	0	0	0	4	6	0	0
LOC101082918	339	602	311	18	40	270	0	0	0	0	0	39	28	0	0
LOC101083182	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
