N_unmapped	4438_S1_L002_ReadsPerGene.out.tab	4460_S2_L002_ReadsPerGene.out.tab	4474_S3_L002_ReadsPerGene.out.tab	4501_S4_L002_ReadsPerGene.out.tab	4510_S5_L002_ReadsPerGene.out.tab	4520_S6_L002_ReadsPerGene.out.tab	DC1MINUS_S7_L002_ReadsPerGene.out.tab	DC2MINUES_S9_L002_ReadsPerGene.out.tab	DC2PLUS_S10_L002_ReadsPerGene.out.tab	DC2Pool_NoIndex_L001_ReadsPerGene.out.tab	DC3Pool_NoIndex_L001_ReadsPerGene.out.tab	DC4MINUS_S11_L002_ReadsPerGene.out.tab	DC4PLUS_S12_L002_ReadsPerGene.out.tab	Mischief_Minus_S12_L002_ReadsPerGene.out.tab	Mischief_Plus_S11_L002_ReadsPerGene.out.tab	X2654MINUS_S13_L002_ReadsPerGene.out.tab	X2654PLUS_S14_L002_ReadsPerGene.out.tab
LOC101081060	0	0	0	0	0	1	0	0	0	100	101	0	0	2	2	0	0
LOC105260758	0	0	0	0	1	1	0	0	0	0	0	0	0	8	2	0	0
LOC105260757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105260751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105260756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101081313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101086734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101086987	0	0	0	1	1	0	0	0	0	7	20	0	0	13	34	0	0
LOC101081560	3	0	0	4	4	0	0	0	0	0	0	0	0	5	11	0	0
LOC101081818	0	0	0	0	1	0	0	0	0	11	21	0	1	0	4	0	0
LOC101082325	1	0	1	1	2	4	0	0	0	2	14	0	0	4	16	0	0
LOC101082580	2	0	0	1	2	0	0	0	0	12	32	0	0	4	9	0	0
LOC101087755	0	0	0	1	5	0	0	0	0	0	0	0	0	15	14	0	0
LOC101082834	0	1	0	1	1	0	1	0	0	6	4	0	0	11	15	0	0
LOC101088007	2	0	0	0	5	0	0	0	0	2	0	0	0	10	32	0	0
LOC101088501	2	0	0	0	3	0	0	0	0	1	1	0	0	21	19	0	0
LOC101083349	0	1	0	1	8	0	0	0	0	0	0	0	0	15	9	0	0
LOC101088763	0	0	0	0	3	0	0	0	0	6	16	0	0	14	12	0	0
LOC101083860	0	0	2	0	3	0	0	0	0	57	33	1	0	13	6	0	0
LOC101089023	0	0	0	1	5	0	0	0	0	12	30	0	0	24	19	0	0
LOC101084119	0	1	0	1	3	0	0	0	0	1	2	0	1	27	31	0	0
LOC101089279	0	0	0	0	4	0	0	0	0	4	5	0	0	49	63	0	0
LOC101084373	0	0	0	2	4	0	0	0	0	1	2	0	0	28	39	0	0
METTL7B	0	0	0	0	5	1	0	0	0	2	0	0	0	67	82	0	0
ITGA7	2	2	0	1	12	0	0	0	0	3	3	0	0	49	90	0	0
BLOC1S1	16	13	13	7	30	5	42	35	29	13	5	49	43	206	226	647	720
RDH5	630	565	739	382	131	470	533	584	537	7	0	565	604	92	70	845	980
CD63	166	111	127	94	26	82	43	33	22	2	2	35	38	46	59	29	54
LOC111561482	3141	6175	3858	2250	1308	4979	14144	14631	13256	0	0	13518	16883	183	179	11147	12960
GDF11	5	1	3	3	13	6	2	4	1	1	0	1	7	24	26	0	1
SARNP	549	374	303	429	144	463	653	786	596	2	3	588	781	99	110	638	786
LOC109501620	775	807	775	401	214	604	859	897	696	82	29	766	1245	230	205	654	752
ORMDL2	22	8	16	11	9	13	6	1	1	0	0	4	5	27	36	0	4
DNAJC14	474	475	426	242	77	379	209	206	157	1	0	212	273	66	86	124	220
LOC101084636	1496	1525	1496	797	318	1171	1633	1506	1237	3	6	1739	2266	307	277	988	1180
MMP19	121	194	115	42	28	87	419	290	196	0	1	641	718	111	90	88	89
PYM1	6	11	9	1	18	4	746	723	636	1	2	127	200	146	128	845	870
DGKA	135	213	131	80	37	126	149	118	79	10	5	138	155	103	153	71	75
PMEL	4617	4517	3224	1242	620	2544	179	198	159	154	163	184	195	723	533	135	189
CDK2	72	48	32	17	18	33	3	1	2	1	2	0	1	187	226	2	0
RAB5B	257	188	241	129	37	216	129	52	43	1	2	119	170	233	203	49	62
SUOX	1552	1170	1225	1056	320	912	2074	2237	1812	0	2	2141	2597	360	272	1457	1953
IKZF4	199	170	159	103	76	121	162	115	81	3	1	136	150	141	142	83	88
LOC109501622	35	32	22	24	33	23	23	20	13	9	28	35	27	241	280	7	10
LOC105260750	0	0	0	1	0	2	0	0	0	1	1	2	0	2	11	0	0
RPS26	8	7	12	3	5	4	2	6	5	64	23	0	6	49	58	0	2
ERBB3	8180	8027	9262	5750	1649	6643	9029	8237	7084	0	0	8056	10028	437	320	5791	6437
PA2G4	11	13	14	13	37	8	6	2	5	11	15	2	1	304	384	0	7
RPL41	2281	2002	2157	1077	371	1651	2663	2329	2022	1	0	2837	3706	597	431	1594	2039
ZC3H10	23120	22731	28200	16621	5833	18861	22886	20905	17597	1	0	20260	24975	507	269	15193	18263
ESYT1	348	238	271	188	90	186	244	285	225	1	2	268	324	175	134	162	190
MYL6B	9636	7182	8906	4453	1596	6925	3558	2681	2261	87	50	4820	5870	1343	783	4452	5010
MYL6	77	77	73	29	30	50	62	57	54	4	2	89	109	76	95	63	77
SMARCC2	15429	10005	17414	8327	3769	13388	28571	26319	22669	0	0	32718	38494	1089	629	30883	35462
TRNAS-CGA_2	1885	1315	1696	1336	415	1011	1350	1268	1054	7	11	1583	2005	993	802	888	1007
RNF41	1	1	0	0	0	0	1	2	0	0	0	0	0	0	4	1	2
NABP2	1215	1115	1188	520	242	730	2094	2224	1841	1	3	1955	2239	211	239	1530	1779
SLC39A5	1220	1085	1419	686	265	890	1217	1082	1017	1	0	1325	1628	205	149	743	991
ANKRD52	28	9	19	16	14	7	3	3	1	1	5	3	5	85	90	3	2
COQ10A	633	407	500	415	226	303	578	594	512	28	19	822	899	510	518	321	403
CS	202	158	197	75	52	131	292	300	255	0	0	401	488	113	109	193	223
CNPY2	3099	2946	3323	2670	981	2551	2772	2597	2113	2	0	3402	4060	290	229	2266	2614
PAN2	433	502	488	208	100	323	1012	1040	905	1	11	1018	1277	147	119	811	976
IL23A	1328	1016	1185	630	279	859	399	358	287	6	15	396	508	282	381	154	187
STAT2	88	73	99	60	51	76	27	12	14	2	3	14	21	75	61	9	18
APOF	3983	6645	4008	1587	1336	4228	2022	2228	1860	127	113	2237	3061	376	327	1334	1492
TIMELESS	2	0	0	1	3	0	0	0	0	0	0	0	0	42	41	0	0
MIP	129	111	181	129	76	132	70	16	15	27	11	55	78	765	617	8	18
SPRYD4	2	4	0	2	5	4	0	1	0	2	0	0	0	95	162	3	0
GLS2	65	68	42	43	21	41	65	31	35	0	0	42	46	54	78	33	33
RBMS2	12	7	24	20	24	4	10	4	6	11	18	8	10	157	172	3	5
BAZ2A	203	99	207	90	95	103	803	731	596	4	0	854	1029	253	291	577	739
ATP5F1B	2988	2199	2341	2487	854	1614	607	446	342	214	278	607	734	1055	845	340	410
LOC111561567	6374	5497	6627	3739	1355	5482	11261	9881	8495	4	7	12092	17747	458	303	10580	11009
LOC111561568	23	20	19	13	4	14	3	1	1	0	0	7	3	2	1	0	0
PTGES3	22	22	23	16	5	31	9	3	5	0	0	4	5	0	1	3	4
LOC109496917	2334	1806	2085	1810	643	1269	1796	1404	1081	181	146	1754	2802	260	134	1111	1273
LOC111561459	158	176	178	302	51	48	12	20	60	6	4	16	243	0	171	14	72
NACA	10	7	17	166	37	13	6	5	232	2	3	5	1361	0	938	5	184
PRIM1	12584	11352	13935	7222	2724	8963	9711	8902	6890	50	23	9545	12761	1173	777	5625	6886
HSD17B6	799	720	554	384	155	499	495	385	333	1	6	140	197	113	134	231	270
LOC111561515	397	347	356	211	117	369	661	685	575	8	16	529	715	137	88	638	737
LOC111561376	0	1	0	0	1	0	0	0	0	25	97	1	0	5	0	0	0
SDR9C7	0	0	0	0	2	1	0	0	0	0	0	0	0	26	33	0	0
RDH16	1	2	0	1	8	0	0	0	0	2	5	0	0	83	97	0	0
GPR182	39	82	56	28	8	33	8	0	3	40	12	10	10	136	147	1	4
ZBTB39	3	4	11	3	12	4	1	1	0	3	1	2	4	73	59	0	0
TAC3	460	409	398	220	106	297	182	193	137	11	31	208	233	157	205	104	126
MYO1A	3	2	1	5	5	0	0	0	0	1	1	0	0	90	73	0	0
NEMP1	129	97	116	82	49	94	21	7	9	9	82	24	17	295	417	1	10
NAB2	436	307	338	401	128	267	115	125	79	3	1	123	179	230	232	61	80
STAT6	255	178	186	140	36	140	796	539	484	31	14	665	686	155	134	375	511
LRP1	2966	2058	2756	1770	695	1930	1924	1710	1560	5	24	2350	2911	383	323	1710	1798
NXPH4	2293	910	3003	1085	959	1319	124839	122529	110899	53	55	103310	108846	844	781	82340	82357
SHMT2	5	3	7	5	3	2	114	75	68	0	0	155	174	30	50	89	112
NDUFA4L2	1111	1125	1157	724	213	912	7876	5197	4666	3	0	7456	8698	283	212	2947	3368
STAC3	4	0	0	0	4	1	427	32	35	0	0	220	312	24	17	10	4
R3HDM2	99	49	60	62	34	49	13	8	8	0	2	13	13	147	175	5	9
INHBC	1495	1310	1219	1084	395	784	1233	1216	948	7	7	1243	1308	561	505	604	766
INHBE	5	2	0	6	21	4	0	0	0	2	7	1	0	65	56	0	1
GLI1	3	0	0	0	10	0	1	0	1	0	1	0	0	55	108	0	0
ARHGAP9	16	9	5	12	22	6	21	3	1	2	0	5	8	218	336	1	4
MARS	2305	2079	2115	1056	529	1690	14	12	9	48	21	8	16	327	319	8	3
DDIT3	713	722	614	353	155	522	2665	2336	2126	1	1	2814	3523	277	275	1340	1510
MBD6	183	213	141	91	42	121	1922	2155	1767	3	0	1806	2323	44	56	750	916
DCTN2	212	162	159	202	112	100	74	55	39	2	2	65	83	249	210	25	49
KIF5A	1476	1584	1817	857	336	1423	5554	4454	3814	18	77	5278	6595	232	194	3268	3787
LOC109501627	39	26	26	19	39	12	52	0	1	39	25	8	13	346	446	4	3
PIP4K2C	0	0	0	0	5	0	2	0	0	0	0	0	1	1	0	0	1
DTX3	801	944	732	321	145	563	88	63	70	3	3	68	129	195	170	77	81
ARHGEF25	395	434	434	149	73	327	156	23	22	0	0	53	54	118	119	44	42
SLC26A10	4	0	4	3	18	2	567	407	378	47	64	500	650	139	162	484	613
B4GALNT1	4	4	4	8	18	2	7	1	0	1	1	1	2	146	154	3	5
OS9	15	25	17	15	23	23	0	0	1	13	35	1	1	273	206	0	5
AGAP2	3187	3080	3367	1609	680	2431	4384	3799	3422	44	70	4236	4999	376	275	2732	3154
LOC105260762	966	1085	906	394	203	714	4	2	2	3	6	4	3	365	284	2	2
TSPAN31	16	15	11	9	11	6	4	0	0	0	0	0	3	69	78	0	2
CDK4	405	398	434	220	95	318	1562	1426	1205	8	22	1551	1992	127	151	1280	1562
MARCH9	342	307	336	282	69	251	1332	1018	912	0	0	1226	1541	167	128	455	504
CYP27B1	302	271	251	146	75	225	148	208	180	0	3	229	264	81	125	137	192
METTL1	6	7	13	1	23	7	11	2	7	104	49	5	10	171	183	5	10
EEF1AKMT3	41	38	35	17	25	38	345	290	246	4	14	311	439	77	97	182	246
TSFM	8	7	5	2	8	1	38	32	23	1	0	29	32	81	132	33	31
AVIL	258	269	263	164	83	204	517	554	499	7	37	492	677	65	81	420	470
CTDSP2	31672	19311	35852	18246	7650	31225	134	265	205	18	69	109	143	221	220	41	73
LOC109501628	6076	6179	5197	2302	1036	3820	6609	6886	5876	1	0	6216	7280	254	199	4263	4963
LOC109501629	2	4	8	1	7	2	54	22	38	0	0	66	83	34	43	35	51
ATP23	1	2	0	1	5	1	0	0	1	1	0	0	0	47	44	0	0
LRIG3	238	197	225	120	54	140	257	276	209	1	3	280	367	70	95	150	197
LOC111561379	3	1	0	3	18	5	1601	1861	1569	86	114	1102	1420	94	85	711	881
LOC111561555	0	3	1	2	5	0	0	4	3	2	0	0	2	9	16	0	3
LOC109501973	0	1	0	0	0	1	0	0	0	0	0	0	0	5	5	0	0
LOC111561380	3	2	2	1	6	2	1	1	1	6	32	1	1	13	18	1	0
LOC111561538	33	18	36	33	9	28	19	16	15	15	37	35	48	39	35	8	6
SLC16A7	1	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0
LOC109501630	2207	1674	2238	909	584	1548	1304	930	698	8	10	1155	1334	156	165	295	377
LOC111561569	0	0	3	0	1	0	0	0	0	5	16	0	0	1	5	0	0
FAM19A2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	5	0	0
LOC111561561	4	3	6	5	6	2	1	1	1	0	1	0	0	63	74	0	0
LOC111561483	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0
USP15	2	1	0	2	5	0	0	0	0	17	17	0	0	20	11	0	0
MON2	3423	3807	2996	1872	736	2298	1874	1891	1574	37	34	1884	2739	197	135	1333	1586
LOC111561576	2638	2158	2302	1796	595	1551	2342	2432	1895	4	9	2511	3459	258	231	1765	1894
LOC109501632	6	3	3	4	3	3	0	0	0	0	0	0	1	9	2	0	0
PPM1H	25	30	26	20	8	23	23	17	27	0	1	31	28	70	79	12	11
LOC109501633	489	206	664	199	171	256	83	331	268	23	26	219	340	138	186	84	116
LOC109501634	1	1	4	2	1	0	1	0	0	1	0	0	0	9	11	0	0
LOC111561460	9	0	6	3	12	1	1	5	1	2	1	0	1	48	64	0	0
LOC111561461	78	60	49	94	21	44	39	514	462	0	0	28	35	0	0	0	3
LOC109501637	62	29	13	38	5	18	1	167	148	1	1	0	0	8	2	0	0
AVPR1A	1	0	1	2	1	0	0	0	0	23	26	0	1	42	58	0	0
TMEM5	8	42	16	15	7	12	0	0	0	0	2	1	0	46	60	0	0
SRGAP1	144	173	140	69	36	83	604	643	548	0	4	558	772	31	34	439	584
CB4H12orf66	39	29	61	44	61	28	445	386	278	40	97	382	639	248	293	256	320
LOC111561382	205	139	166	81	31	110	69	66	80	1	1	83	119	99	74	59	78
CB4H12orf56	38	48	56	16	16	45	142	171	133	50	75	69	92	49	80	118	105
XPOT	39	32	26	11	16	17	26	28	18	27	32	21	31	181	194	12	29
TBK1	1966	1769	1733	936	408	1232	13078	13063	10608	20	59	12620	16715	423	331	7194	8722
LOC101087675	1763	1738	1683	967	436	1225	1032	1038	790	154	154	847	1209	245	220	480	596
RASSF3	17	13	10	13	15	6	5	2	0	0	0	1	1	16	31	1	2
LOC111561530	2923	2370	2716	1643	538	2490	1416	1271	1023	1	1	1311	1723	165	151	1965	2447
GNS	2	4	2	9	2	1	0	1	1	0	2	0	0	5	4	0	1
LOC109501641	3629	3096	3334	1830	835	2556	6324	8755	7191	31	15	6524	8538	207	198	5279	6202
TBC1D30	42	24	26	25	10	14	5	3	2	3	0	5	5	34	34	1	1
LOC111561383	148	74	127	71	44	51	19	10	14	75	69	16	17	115	160	18	15
LOC109501643	0	2	2	0	1	1	0	0	0	2	6	0	0	4	18	0	0
WIF1	3	1	1	1	4	0	0	0	1	1	1	0	0	7	11	0	0
LEMD3	337	237	28	15	115	82	2	0	0	4	4	0	0	80	119	0	0
LOC102901334	1937	1519	1619	931	364	1217	1069	925	807	3	4	1126	1368	154	118	531	618
MSRB3	45	23	30	42	13	16	42	39	20	1	1	39	58	18	10	3	8
LOC111561384	52	50	53	52	37	37	12931	12078	9825	29	31	14806	18786	127	178	11788	14768
LOC111561385	1	0	1	1	2	2	28	22	6	12	20	20	11	39	33	4	12
HMGA2	0	0	2	0	8	0	11	1	3	48	63	2	4	69	85	2	3
LLPH	0	6	1	5	0	1	21	26	12	0	0	1	2	15	6	3	13
TMBIM4	708	672	729	294	154	461	696	531	449	0	0	541	725	143	70	404	557
IRAK3	788	785	919	398	169	587	1332	1071	905	8	1	1309	1906	53	31	813	1010
LOC109501644	348	201	399	215	108	220	156	156	117	6	23	119	125	127	135	68	70
HELB	4	7	35	4	6	18	0	12	4	0	0	0	0	36	45	0	1
GRIP1	744	696	849	453	177	576	198	348	277	2	1	292	363	119	144	26	44
LOC109501646	26	17	23	19	26	14	0	7	4	35	50	7	4	217	267	0	5
LOC109501645	1	0	3	2	4	3	0	0	0	18	24	0	0	66	70	0	0
CAND1	5	1	0	0	3	0	1	0	1	5	9	1	1	62	79	0	2
LOC109501648	2385	2240	2321	1144	456	1591	4482	4860	3685	58	77	5087	6932	272	202	2778	3551
LOC109501649	31	18	30	23	6	29	2	2	5	4	5	5	5	40	45	1	6
LOC109501650	1	0	0	0	2	0	0	0	0	1	0	0	0	8	13	0	0
LOC111561387	1	1	0	3	5	0	0	0	0	2	1	0	0	59	72	0	0
LOC111561551	1	1	1	1	6	0	0	0	0	12	31	0	0	38	40	0	0
LOC111561388	0	0	2	0	1	0	0	0	0	0	0	0	0	5	12	0	0
DYRK2	28	32	20	13	11	5	0	0	0	1	0	0	0	30	22	0	0
LOC109501975	8627	8735	7287	2635	1370	5618	2409	2273	1864	39	22	1604	1914	204	199	979	1383
LOC109501654	0	4	1	1	3	0	0	0	0	0	0	0	0	0	3	0	0
LOC109501652	2	2	1	1	4	1	0	0	0	0	2	0	0	7	4	0	2
IFNG	11	5	13	3	4	3	0	0	0	0	0	0	0	33	56	0	0
IL26	4	10	23	2	2	6	0	0	0	0	0	0	0	53	57	0	0
IL22	4	2	4	1	3	0	0	0	0	0	1	0	0	33	37	0	0
MDM1	1	1	2	1	11	0	0	0	0	53	106	0	0	165	136	0	0
LOC102902548	304	247	285	151	61	180	126	120	94	58	50	153	201	221	205	55	71
LOC109501656	36	18	24	28	8	17	1	2	1	0	0	1	1	41	43	0	0
LOC109501655	0	1	2	0	1	0	0	0	0	23	12	0	0	19	11	0	0
RAP1B	9	31	48	10	20	5	9	4	0	28	22	61	76	82	112	1	1
NUP107	7102	6787	8581	4163	1896	5197	5183	4575	3840	0	1	5694	7858	357	189	2420	3129
SLC35E3	1568	1566	1511	704	306	1037	538	560	463	12	19	587	781	207	181	319	410
LOC111561540	398	320	347	246	103	331	353	302	247	2	1	351	493	66	39	204	245
MDM2	0	0	1	0	1	1	0	0	0	0	1	0	0	10	22	0	0
LOC109501657	3760	3452	4172	2964	903	3102	5902	7141	5641	1	5	5822	7929	304	219	3339	4107
CPM	90	35	63	56	10	47	26	37	33	8	8	30	36	40	62	13	16
LOC102899090	311	153	240	237	87	169	481	746	587	3	2	165	251	112	141	1714	1940
LOC109501658	176	76	188	120	40	99	27	38	41	6	10	46	67	25	17	52	62
LOC111561592	0	1	0	1	1	1	0	0	0	0	0	0	0	5	4	0	0
CPSF6	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
LYZ	5354	3796	3751	2167	860	2830	1885	2089	1624	18	76	2285	2909	375	307	1175	1397
YEATS4	72	108	14	4	32	76	0	0	1	73	31	0	0	66	81	0	0
FRS2	384	348	375	154	61	265	354	464	331	2	0	381	559	91	87	229	273
CCT2	832	646	633	485	192	405	2014	2193	1744	78	49	1993	2419	131	135	1038	1346
LRRC10	2566	2272	2365	1280	512	1925	5342	5889	4664	36	18	6134	8262	237	164	3199	4040
RAB3IP	1	1	2	0	2	0	0	3	0	176	62	3	4	52	49	0	4
BEST3	30	10	19	6	7	8	6	27	8	10	3	21	28	39	32	15	14
LOC111561462	4	0	4	2	15	5	0	0	0	6	9	0	1	168	218	0	1
MYRFL	0	0	0	1	4	0	0	0	0	0	0	0	0	4	6	0	0
LOC111561389	6	4	1	6	14	3	5	3	1	79	32	6	10	203	202	0	2
CNOT2	4	2	3	10	7	0	18	15	14	173	136	12	9	29	47	8	15
KCNMB4	1745	1646	1596	1029	352	1225	1675	1472	1227	4	3	1730	2268	201	173	948	1116
PTPRB	29	17	22	21	5	16	1266	1243	1033	0	1	1168	1461	23	38	1176	1361
PTPRR	11	8	16	10	30	7	1948	2958	2298	151	286	1511	1983	316	373	1060	1129
LOC109501664	11	1398	577	310	120	20	88	145	120	5	14	97	128	88	92	60	77
LOC109501977	0	3	1	1	4	0	0	0	0	6	29	0	0	18	13	0	0
LOC109501665	1	0	1	0	2	1	0	0	0	0	0	0	0	20	17	0	0
TSPAN8	5	2	5	10	7	4	0	0	0	4	2	0	0	44	59	0	0
LOC109501667	88	56	115	69	40	67	0	0	0	3	4	0	1	53	63	0	0
LOC111561527	0	0	1	0	0	0	0	0	0	3	3	0	0	5	9	0	0
LOC109501666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LGR5	0	0	1	0	3	0	0	0	0	0	0	0	0	13	27	0	0
LOC111561390	2	0	1	3	13	2	31	14	8	55	50	2	4	100	119	10	17
ZFC3H1	1	4	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
THAP2	3931	2707	3293	1925	792	1738	1229	975	716	211	240	1212	1521	419	300	740	772
TMEM19	124	170	136	80	25	110	177	155	146	0	0	189	236	18	26	110	160
RAB21	361	353	357	182	84	238	697	1207	964	8	19	576	685	30	52	1271	1602
TBC1D15	1994	1610	1749	1379	445	1277	1538	1683	1333	13	11	1205	1687	284	175	1239	1421
LOC111561553	1350	1987	1403	883	327	1240	1681	1907	1532	80	101	1582	2304	202	152	1036	1191
TPH2	14	6	7	15	4	8	0	2	0	0	0	0	0	14	1	0	0
TRHDE	2	0	2	2	7	0	1	0	0	55	38	0	0	81	93	0	0
LOC111561513	5	3	6	8	17	1	0	1	2	107	81	0	0	133	121	0	1
ATXN7L3B	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
KCNC2	2356	2217	2208	1356	515	1786	986	1081	829	9	19	1242	1621	188	140	491	569
CAPS2	7	1	2	1	16	2	0	0	1	251	123	0	0	103	116	0	0
GLIPR1L1	22	22	23	11	32	6	45	51	33	140	81	22	28	102	70	19	9
GLIPR1L2	6	0	1	1	5	1	3	0	0	5	25	0	0	12	16	0	0
LOC109501670	15	10	14	9	8	8	27	15	11	26	91	8	8	47	74	1	2
GLIPR1	4	1	3	3	5	1	13	4	5	7	15	0	0	32	27	0	1
KRR1	643	369	525	182	143	436	214	131	106	0	3	252	295	29	47	108	145
LOC109501672	1057	1025	972	451	173	751	1167	1018	784	0	9	1044	1333	56	57	705	1069
PHLDA1	1	0	0	0	2	0	0	0	0	0	0	0	0	23	41	0	0
NAP1L1	769	623	930	757	144	521	757	330	260	114	71	664	1097	134	142	1395	1701
LOC111561464	18197	18217	20202	15160	6586	17767	4973	4967	3702	67	123	6037	8766	1315	751	3329	3921
LOC111561393	18	19	19	4	3	16	2	4	2	0	2	6	3	0	8	0	0
LOC109501674	4	1	1	1	5	3	2	2	5	0	0	13	30	44	39	10	5
BBS10	0	0	0	1	4	1	0	0	0	0	0	1	0	13	22	0	1
OSBPL8	205	119	33	23	31	125	71	76	67	0	1	111	153	39	41	62	89
LOC111561570	8948	8497	8350	3922	1522	5656	7056	8732	6795	290	247	7191	9201	349	303	4025	5185
LOC111561392	11	7	6	10	2	5	2	4	0	0	0	1	1	4	10	0	0
LOC111561595	21	23	15	11	5	13	9	9	2	4	7	20	35	22	21	7	4
LOC109501675	0	0	0	0	2	0	0	0	0	0	0	0	0	6	11	0	0
ZDHHC17	3	1	0	0	2	2	0	1	0	60	107	0	0	22	38	0	0
CSRP2	908	767	758	540	207	446	580	524	443	20	31	566	716	93	99	256	318
E2F7	15	7	6	15	7	8	671	574	492	2	1	3146	4031	68	64	130	180
LOC109501677	30	32	45	19	22	20	31	16	12	34	37	31	44	243	287	4	5
NAV3	0	4	2	3	4	1	1	3	0	0	0	5	5	4	8	0	0
LOC111561526	134	120	105	61	90	96	1408	1254	958	98	48	1147	1726	348	391	1114	1128
SYT1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
PAWR	23	11	66	89	19	32	3	10	1	11	34	22	16	152	199	14	25
LOC111561395	774	735	849	266	125	358	8458	12959	9552	62	168	10225	13088	160	119	7587	9453
PPP1R12A	5	0	2	0	6	0	0	2	1	0	0	1	4	19	10	2	1
LOC111561484	5259	4639	4965	2918	1026	3087	7641	7051	5707	158	127	10638	13970	759	465	3882	4657
OTOGL	0	0	0	0	3	0	1	1	0	0	1	1	0	58	52	1	0
LOC109501922	3	5	1	7	32	4	52	112	98	330	375	319	423	212	257	10	17
LOC101091541	2	2	1	3	11	1	0	4	4	1	1	11	28	26	37	0	0
LOC111561396	4	2	9	9	26	1	121	265	213	32	26	383	450	125	208	163	230
LOC111561546	0	1	0	2	4	0	6	0	1	4	11	0	0	47	43	0	0
MYF6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
MYF5	0	0	0	0	4	0	2	2	0	0	0	0	0	34	28	0	7
LIN7A	1	2	0	2	6	0	0	0	0	2	0	0	0	56	66	0	0
LOC111561397	0	0	2	2	20	3	226	278	203	66	96	108	129	139	149	71	65
ACSS3	1	0	0	1	2	0	0	0	1	0	0	1	0	2	4	0	0
PPFIA2	401	182	352	164	103	220	967	1672	1342	25	68	1357	1796	75	76	733	1010
LOC111561508	22	5	5	16	23	10	9	17	14	206	121	7	10	166	176	5	10
CCDC59	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
METTL25	309	381	380	173	70	270	300	253	184	0	0	285	393	74	73	153	221
LOC109501694	136	153	135	92	47	84	89	93	74	25	24	66	97	52	71	50	73
LOC102899054	3	0	0	0	2	0	0	0	0	0	2	0	0	18	9	0	0
TMTC2	1	0	0	3	3	1	1	0	0	50	27	1	2	64	63	1	0
LOC111561398	7	12	23	14	22	7	1050	1379	1184	4	11	1619	2232	71	152	1107	1301
LOC111561620	0	0	0	2	11	2	9	2	3	1	5	7	4	15	26	4	10
LOC111561534	0	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	0
LOC109501696	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
LOC109501695	2	0	0	0	4	0	0	0	0	2	0	0	0	4	20	0	0
SLC6A15	4	0	0	1	4	0	0	0	0	6	16	0	0	7	4	0	0
LOC111561594	3	3	0	2	4	2	0	0	1	8	11	0	0	46	51	0	0
TSPAN19	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
LRRIQ1	0	1	2	0	8	1	0	0	0	44	103	0	0	8	6	0	0
LOC111561528	4	1	4	6	17	2	5	13	6	114	151	13	7	97	114	4	4
ALX1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0
RASSF9	3	0	0	1	3	2	1	1	2	0	0	1	1	48	75	0	0
NTS	5	4	3	3	9	4	10	6	3	52	165	3	4	48	57	0	0
MGAT4C	1	1	0	0	1	3	0	1	0	0	1	0	0	14	19	0	0
LOC109501699	7	4	8	2	6	6	0	0	0	179	99	0	0	38	56	0	0
LOC109501700	1	1	0	0	5	3	0	0	0	0	1	0	0	20	17	0	0
LOC109501979	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CB4H12orf50	2	0	1	0	3	1	0	0	0	0	0	0	0	11	5	0	0
CB4H12orf29	6	3	1	3	4	3	1	0	2	12	18	2	0	42	34	0	0
CEP290	441	459	439	204	104	293	300	263	206	19	12	287	376	53	75	207	221
TMTC3	529	447	453	247	140	348	417	380	309	7	5	488	678	228	217	333	384
KITLG	551	419	450	311	104	290	1773	2164	1543	1	4	1944	2571	141	171	1427	1750
LOC111561541	0	6	2	1	7	0	294	316	237	15	15	159	193	32	36	314	290
LOC111561485	0	0	0	1	0	0	0	0	0	18	7	0	0	0	7	0	0
LOC111561486	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	0
DUSP6	0	0	0	0	0	0	0	0	0	0	1	0	0	12	17	0	0
LOC109501705	2387	742	2717	719	861	1311	444	331	322	0	8	169	242	117	110	522	616
LOC111561531	8	0	5	2	14	6	2	2	5	8	2	2	6	97	117	2	2
